"Countries","Adult_Literacy","Internet_Users","GDP_Per_Capita","Immunization_DPT_Children","Prevalence_HIV","Population_Growth_Annual","Infant_Mortality_Rate","School_Enrollment","High_Tech_EXP","Unemployment_Female","Urban_Population_Total"
"Maldives","98.61012","49.28","9056.65343979878","99",NA,"2.69366023648438","8",NA,NA,"6.10200023651123","61.894"
"Middle East & North Africa","78.48583","40.2402167124595","8473.74622806702","87.9226536614721",NA,"1.95592113388206","20.6","103.82229","4.61683137345716","18.3278637676825","36.1454084303986"
"Mexico","94.55588","44.39","10582.4105262309","87","0.3","1.36624560463928","13.2","105.17832","15.9921956045596","4.86800003051758","21.007"
"Marshall Islands",NA,"16.8","3461.7811637491","78",NA,"0.198692480048187","30",NA,NA,NA,"24.616"
"Middle income","85.05551","34.8605599137774","5142.30105938755","84.9350097559689","0.888223035500332","1.1596628640626","30.8886114874937","103.40661","17.9620805246718","5.31320105133281","50.0217348511323"
"Macedonia, FYR",NA,"68.06","5469.21789842179","95","0.1","0.084560614915291","10","91.40527","3.09948975668456","28.617000579834","42.716"
"Mali",NA,"7","845.720640984484","66","1.3","2.90103100869125","71","76.98236",NA,"6.23999977111816","60.804"
"Malta",NA,"73.17","25811.8780046703","99",NA,"1.9967544083193","5.8","101.89638","34.4130283265583","5.32299995422363","5.65300000000001"
"Myanmar",NA,"11.52","1260.418503807","88","0.7","0.920921765027","42.5","101.87261","0.606296651702731","0.912000000476837","70.35"
"Middle East & North Africa (excluding high income)","75.51625","34.8392581629025","4426.7138979302","86.7869280407821","0.104512491896481","1.81506148509985","22.2782156745161","102.67514",NA,"20.1981602977978","39.8742992674876"
"Montenegro",NA,"61","7378.34102152704","91","0.1","0.0970220113323688","4.2",NA,NA,"18.2390003204346","34.529"
"Mongolia",NA,"19.9424474349209","4181.5833128422","99","0.1","1.89161420109324","16.9","101.86889","19.5095054680893","4.47100019454956","31.837"
"Northern Mariana Islands",NA,NA,"15513.6961151502",NA,NA,"0.796288215489398",NA,NA,NA,NA,"8.727"
"Mozambique",NA,"9.236314896","623.286753930288","79","13","2.90069572870848","58.9","105.4678","5.63488024133134","27.1340007781982","66.122"
"Mauritania",NA,"10.7","1326.66865421644","81","0.5","2.94025367689978","57","97.1463799999999",NA,"12.8100004196167","49.797"
"Mauritius","92.47476","44.8032753683379","10153.9382184867","97",NA,"0.181061469451535","13","102.44635","0.0232694126490114","11.335000038147","58.889"
"Malawi","65.14537","5.83","354.318989805753","91","10.3","2.92294017355582","44.1","142.23352","2.52430852860742","6.99200010299683","83.868"
"Malaysia",NA,"63.6654258813225","11183.729432082","97","0.4","1.73957920597507","6.4","104.58289","43.874046652832","3.22499990463257","26.423"
"North America",NA,"74.4268352717389","54295.3424183322","94.6427887410013",NA,"0.788482346869017","5.8","99.84405","17.3286832771915","6.09834036502782","18.5401794323882"
"Namibia",NA,"14.84","5392.71242089285","88","12.6","2.3242373421871","36.1",NA,"2.68086362234699","20.3199996948242","54.174"
